Did,Oid,Cid,Onum,Duint_price
48026,86,47860,9,247
32213,45,57650,8,130
40888,92,53482,6,258
41093,15,99486,1,559
26407,9,55614,2,164
62390,11,47351,5,478
55983,11,1111,9,886
20159,57,84528,6,149
68630,37,70482,1,286
6859,89,91777,8,668
67753,40,76484,5,76
13307,64,51014,3,794
78340,22,705,5,938
29600,56,6538,1,22
40793,29,87368,8,721
26768,52,32054,10,132
10590,31,92292,1,655
55953,3,21751,8,877
57795,15,35612,5,599
68449,96,79900,1,353
21919,40,17059,3,786
38263,36,77468,8,620
7888,6,43509,7,800
8034,92,4524,9,740
9701,64,69267,2,933
40229,15,85391,2,318
74200,49,69700,9,275
69753,88,47752,7,390
75155,4,23143,10,459
68426,35,27390,1,150
79256,42,32425,6,157
31384,17,73564,10,807
47432,73,29886,2,509
47649,67,82407,9,961
43136,73,62931,2,841
2261,38,80491,10,475
59331,2,26411,9,536
13145,86,23711,8,410
22041,30,56945,8,54
45715,50,87507,6,723
60339,55,34041,3,312
48860,53,68678,9,499
62013,56,75592,1,691
46801,18,5917,10,84
8205,42,54179,7,168
20513,79,13911,7,559
8066,18,87287,8,222
70351,41,88617,1,990
5092,53,43001,5,182
50776,25,30620,1,91
52480,67,5214,7,99
40137,21,81911,7,374
10241,17,12035,10,12
59819,50,5380,8,471
78552,40,21268,6,428
37513,48,20504,3,314
50922,91,34902,10,744
47166,30,78346,1,510
27898,38,97939,1,792
69436,4,52099,5,246
51152,19,41975,9,898
56424,68,17686,8,248
51116,99,25215,9,387
16452,38,64440,3,346
18291,17,90793,4,879
15138,24,49584,9,246
37376,13,45813,5,330
75001,65,31738,1,170
2871,69,35776,4,586
52950,70,18629,8,343
35212,52,56602,1,710
52929,2,82986,10,721
13466,29,92776,10,888
59075,83,53838,5,954
19404,7,28988,9,169
74798,6,22737,7,701
9574,12,80856,10,898
46296,79,18046,4,702
8125,17,98891,6,798
69850,37,42063,6,805
7131,66,62036,1,252
55499,93,30184,2,750
47450,6,27603,8,846
20436,62,96433,8,813
79472,58,85469,8,188
75671,47,65485,3,50
51669,17,20808,9,100
65148,84,26875,4,855
40806,63,22162,1,25
1679,2,20629,4,25
13745,93,38764,6,465
3320,80,95424,7,921
7938,84,70732,8,282
53122,72,63480,2,590
6765,56,50401,5,520
6113,57,369,6,111
7175,14,78168,6,772
24729,80,32632,10,210
21050,79,76339,4,955
24088,41,90036,2,453
49513,70,70029,10,95
29478,70,84003,5,148
29618,97,62241,10,64
75259,1,29740,10,614
43279,86,48914,1,332
62894,94,45735,5,394
19567,98,35959,10,703
43632,39,33412,8,837
64763,5,9078,5,367
25469,68,35707,4,773
65060,91,48587,7,790
77944,13,558,10,151
5299,54,51813,8,354
68707,40,60171,5,616
73086,2,43708,5,703
34471,91,71949,4,453
3874,60,36420,10,286
42273,24,1949,9,630
64920,3,68721,10,199
24390,71,80762,8,744
40561,99,91212,8,360
25515,40,32878,4,56
28856,22,2117,2,870
15720,28,33061,5,94
7300,10,10448,1,406
44492,64,66571,2,629
41120,59,80792,8,901
52513,13,91217,6,756
62139,6,61425,7,358
50610,68,44725,2,99
17994,7,67315,3,797
2725,24,48111,9,769
28249,36,19983,5,740
68763,42,67883,10,187
63526,78,97662,10,126
21195,96,38129,9,64
46486,93,43983,1,532
76278,16,44289,10,90
13480,55,62180,2,24
10673,86,9617,5,109
29918,41,1865,1,862
37423,7,44086,5,17
69205,46,75863,1,130
52469,100,56270,6,889
62238,72,36,3,69
20651,67,7813,4,519
16872,42,46366,6,984
4222,52,43130,2,226
47421,55,2905,5,675
36315,91,3172,2,954
66218,45,83309,6,81
33924,21,5086,9,626
69112,32,78641,10,919
20272,65,31554,8,725
41860,75,51975,8,90
62202,98,27379,8,373
57691,42,11110,10,547
58200,38,65986,7,552
43102,33,49985,8,884
79489,2,98111,9,632
31005,74,20555,2,75
28066,20,64625,5,212
48903,61,55749,7,658
39527,85,11016,2,692
72841,64,16272,1,309
26599,94,62158,4,137
28834,42,47703,1,973
65032,54,65001,1,109
56080,94,1786,5,806
46340,43,82471,2,151
62617,72,67790,8,553
31672,99,48484,1,316
28539,57,63107,1,732
70445,21,38185,1,269
29513,22,32962,8,818
38576,29,65283,2,148
58903,3,94838,6,402
27118,74,23424,10,164
51239,58,26350,9,418
22562,45,70811,5,507
69847,12,54330,6,328
17818,71,33506,8,905
21082,8,82893,4,729
65633,12,96277,10,859
32494,54,1228,10,892
50661,79,69326,5,756
34578,15,46596,10,267
14419,30,8899,9,264
5007,39,53132,2,625
32609,54,79846,1,842
71947,54,33135,8,440
37039,35,64729,1,586
71201,46,59692,5,537
40335,27,17518,5,983
31280,29,38869,2,255
48423,86,8458,3,920
70448,20,54114,8,440
41095,62,90945,6,991
72880,74,77689,6,647
27763,99,3635,8,454
13849,9,30889,5,255
22051,68,85266,5,490
65117,78,54497,4,339
3750,16,29563,2,116
72501,44,73784,6,544
19414,35,30121,7,658
75390,83,2901,6,279
6665,64,91069,7,251
45028,21,14041,7,427
55622,23,35999,6,107
77064,72,16176,10,417
61947,50,59684,6,67
35904,44,70184,1,889
70214,96,38022,10,101
17593,10,13902,5,64
3182,56,91091,1,235
39791,52,42614,2,431
17437,58,98431,6,588
14108,39,99896,7,104
16454,45,20788,8,211
68662,26,23464,10,315
17231,32,89916,8,732
56904,38,55112,2,212
64436,23,17367,10,482
9054,56,42150,3,233
6975,77,14429,2,92
57724,70,89807,4,141
64044,8,53606,2,62
67516,90,77796,5,413
78432,63,1794,10,459
17273,77,69757,1,812
63888,46,31710,3,942
54828,80,73446,8,399
75912,43,46944,8,816
47023,20,7096,7,498
23984,73,81288,9,418
30734,11,38603,5,769
60504,46,13872,10,869
19807,85,44363,1,650
24214,100,43583,1,710
55755,93,57245,3,396
12786,12,26751,7,877
17400,50,2620,2,845
33645,64,4679,8,411
63133,81,88124,6,932
7268,50,11200,6,74
4218,2,99187,3,420
62524,35,75472,5,793
30585,9,8999,10,38
12161,22,86482,7,155
71437,37,82766,5,603
75650,10,81142,10,956
54480,87,87996,10,629
70286,92,94672,4,323
35904,29,97926,3,735
39610,50,47877,1,559
5611,68,37774,5,894
28456,92,76708,10,489
41260,85,19781,8,716
20322,19,58641,6,128
51257,23,59004,10,563
11292,61,36603,7,858
43055,91,55620,7,105
35277,69,2657,7,485
10064,20,66749,6,879
62626,99,9700,7,335
21119,45,70772,6,882
57589,26,39514,4,85
41492,4,39145,10,331
79455,48,99395,3,381
79272,65,82365,9,598
48485,71,94749,4,857
68489,48,44798,3,337
54724,85,99366,9,850
8512,11,44602,4,770
35314,13,10106,3,191
22770,7,23890,5,490
43545,25,18227,9,358
25567,26,78907,10,296
57184,63,17343,3,851
51048,1,82034,10,296
5363,11,54463,10,294
74356,86,84388,1,13
20240,11,86822,6,152
53919,89,50608,2,496
41552,1,29784,2,463
5329,65,96583,8,721
5870,39,20844,10,246
6715,11,5710,3,672
68156,44,59907,8,924
65437,28,62299,7,577
65593,17,35958,5,820
41827,93,10972,1,41
76796,61,47832,6,685
16302,70,83877,1,8
40729,98,78862,5,330
42298,25,75176,5,765
1425,33,62941,3,234
14264,92,41465,3,70
68598,39,43727,2,664
5572,13,53752,1,531
30542,3,69141,10,185
21286,34,17660,7,147
71288,69,52636,9,359
19656,83,65236,3,907
46264,85,89433,1,914
30584,51,4820,6,363
16505,21,77259,2,600
44622,76,63948,7,836
65105,59,15703,7,107
36773,89,76665,9,643
48052,83,14688,1,666
62193,56,99536,2,600
48242,7,61726,9,927
71151,29,87539,10,655
76482,82,74375,10,542
45478,2,41386,10,378
25415,72,52212,10,684
26810,26,71709,10,356
20432,86,62098,10,129
24728,85,57560,1,234
73509,50,62197,1,981
11382,52,20906,2,122
22674,49,50622,10,170
4472,25,61996,2,58
69195,72,90813,4,486
46233,89,98913,4,261
4189,58,89252,2,1000
6650,50,39794,5,577
16865,16,41136,8,267
67777,77,77718,6,100
60753,24,48456,7,139
2517,12,737,8,841
22350,24,90392,6,372
9158,33,39646,4,690
10498,29,40996,4,941
30660,66,15084,3,899
24134,20,35870,6,293
14743,99,61168,1,122
69868,40,74047,10,411
13952,93,97026,4,982
2984,49,92088,7,315
44789,98,33233,4,8
52248,60,42569,10,152
67448,2,49105,6,250
61545,1,39908,7,795
75803,61,97839,1,446
18113,32,78458,6,55
20817,5,5357,3,286
24940,18,61131,1,488
17103,75,15489,7,325
35177,44,8391,8,802
18515,16,38578,7,945
68616,32,28076,9,659
21632,46,79135,5,239
57192,96,90441,1,285
6884,31,65969,5,963
7758,48,12882,10,337
47441,22,16140,5,925
79638,27,62175,7,771
37198,62,4366,7,154
31121,49,98367,7,919
52277,24,62900,8,926
65917,78,30240,6,700
66717,36,18035,6,880
54,33,85087,10,225
75391,24,80616,5,416
24346,27,13438,1,292
35127,36,77701,8,244
3040,26,10974,3,757
26061,1,42113,4,520
73877,35,31572,7,660
19986,63,3149,9,596
73320,92,12416,9,166
56587,75,66915,3,17
5693,66,38750,2,75
62212,18,37102,6,577
21893,2,41824,3,274
47160,95,28755,5,637
174,98,10617,2,907
64195,33,17100,2,989
30702,40,41852,8,690
7551,24,35944,5,691
54783,48,65232,7,106
67368,5,35668,1,568
58554,51,64478,10,823
65684,78,74025,4,288
57761,92,94942,5,276
12968,95,33858,9,233
3233,4,71237,3,288
31988,82,39504,10,729
25326,25,13654,6,41
7383,71,42611,6,691
14421,85,91168,8,816
15712,85,46542,10,722
42991,92,31653,10,990
63733,88,42519,10,363
48125,9,25273,1,850
48942,90,16172,9,808
10897,100,51126,4,805
6468,79,55152,3,554
22204,91,79879,3,958
52440,50,24271,1,84
63397,75,47680,7,448
22534,76,20282,2,652
7003,26,4629,4,83
69444,48,49735,7,59
59630,1,29724,4,123
46524,15,88351,10,718
28648,51,77989,10,775
74904,84,31065,5,854
73174,15,71767,8,851
152,74,3661,4,955
2354,85,9622,1,34
61245,20,90280,7,919
10197,14,437,2,172
31373,95,21337,1,248
10016,74,26665,3,226
38101,54,91523,2,892
18974,42,62588,7,67
27555,55,47449,2,193
64358,26,10644,8,999
49900,49,18038,6,451
14296,15,10047,10,231
28822,13,25878,9,720
74802,78,40816,8,160
36139,31,89334,6,910
59042,76,63337,1,374
12391,3,87134,2,680
64146,32,15016,2,533
41626,9,28637,1,953
62759,55,32307,5,491
13885,19,65379,4,967
63270,35,86830,3,48
29168,81,62030,5,607
79680,12,391,2,339
43472,89,58794,2,988
15262,53,47443,8,276
3581,36,21474,5,381
73554,37,57087,10,50
16393,65,36293,8,540
30779,93,45155,7,708
24686,90,93654,4,396
21157,68,79280,7,751
48743,60,8899,3,135
43700,11,3775,8,775
39727,92,49828,2,228
49115,72,21288,1,504
77163,1,96401,4,407
68120,86,96863,9,193
40456,3,35809,6,864
17100,36,50012,5,290
34644,54,27916,10,388
42234,19,6438,4,353
19834,20,28264,2,589
70726,78,28816,8,831
26987,100,79297,9,515
2328,11,70246,8,246
56189,64,59867,3,10
8535,61,84916,1,556
52662,19,5195,10,169
46848,96,44643,5,853
26015,3,56324,2,856
15858,5,94060,4,962
40624,50,62868,4,280
26740,13,81299,6,759
9523,63,84605,6,546
6689,89,94618,9,750
4295,32,42361,4,731
41149,96,72306,7,399
60688,41,35346,7,89
33734,57,52724,4,741
65146,66,42347,6,58
64246,64,4700,7,986
35167,73,48904,1,105
74002,64,93876,7,121
5685,6,3640,8,857
14988,14,95262,9,523
11203,26,89992,5,478
8729,32,23478,8,905
14550,55,20373,7,44
76506,56,61374,9,157
76163,69,40174,8,451
579,92,62460,10,964
14926,82,89804,3,448
18909,45,72128,2,360
64395,11,39576,2,664
37165,75,84007,4,991
13462,58,77798,5,524
4002,45,75154,5,945
46605,76,57924,4,291
17809,83,90569,7,418
57983,10,55300,5,300
62748,68,86626,7,27
71253,63,13555,2,836
15475,19,92896,2,291
21485,51,13397,4,789
75989,41,87549,2,421
71288,74,36938,1,577
50223,77,80778,8,635
16552,22,4854,4,679
8277,27,47664,1,682
62065,50,7281,6,467
69816,11,81941,7,215
48818,12,54227,8,205
13511,38,27401,7,519
62646,69,62335,3,634
78653,83,4316,4,746
4406,87,97634,6,129
12500,74,50239,5,860
20095,96,2316,3,148
43714,1,28732,2,653
22996,55,64426,7,43
15731,34,548,10,995
76093,78,35527,3,746
63147,92,14416,7,872
76258,20,61635,6,262
68687,82,55874,9,449
29777,63,35413,6,806
62915,1,33513,7,899
19676,45,16659,1,957
66017,11,8861,5,321
25729,90,13954,7,171
30122,17,53672,8,678
36818,87,37833,1,177
35233,18,62616,10,345
78915,99,99897,9,901
65933,68,37545,7,609
49395,84,74208,9,975
8587,59,57789,7,482
36833,86,15574,4,181
68926,56,34635,9,701
66773,64,19165,4,652
61223,25,46859,10,563
55525,67,81891,9,335
54989,38,68530,6,868
18439,74,24883,9,246
51438,21,55190,3,499
60442,98,67803,9,724
19223,45,76612,8,0
56109,71,18173,9,812
20472,19,27243,9,777
49953,31,53734,5,921
47374,38,25914,7,750
27275,63,58701,10,69
66892,84,8484,10,844
19057,58,87557,9,346
63306,20,45278,5,944
11349,91,18115,10,453
59926,8,71806,8,128
58499,99,79036,10,397
1409,1,16886,2,375
62317,78,4732,7,214
47435,84,66841,6,759
13224,79,45936,1,984
59186,82,15833,10,971
17944,81,73986,5,865
25460,96,64214,9,451
63429,6,29961,1,622
78796,18,50472,7,456
36849,54,32885,4,257
38845,47,64614,6,510
6430,68,8655,7,619
77588,93,66010,7,252
60062,87,4084,2,796
6397,78,82223,9,288
54833,88,24424,9,207
6903,64,50861,8,853
59006,54,4189,1,544
49848,91,76277,9,267
63214,64,75229,2,571
40563,7,62965,8,368
37271,38,85224,9,506
52570,51,83753,3,118
53015,8,13035,9,562
49014,34,31810,4,538
77529,18,96782,4,910
43045,80,28131,1,363
79393,56,51086,7,710
1241,20,93125,6,938
48369,36,77233,1,746
11919,33,45261,2,40
73623,49,90140,8,304
23690,95,17912,3,799
15241,36,55657,5,338
48500,17,47089,6,889
52565,25,84028,2,715
36613,71,69422,2,362
30531,39,56987,5,276
54348,43,98578,3,152
56630,51,27580,7,894
63994,50,54798,4,364
22791,53,38132,4,527
54233,93,25139,4,682
68603,13,42081,8,686
77892,39,28190,9,160
62671,74,52461,8,592
36099,1,82430,8,231
7043,18,15846,2,846
12197,95,32955,5,993
53705,85,91385,2,181
67115,43,22746,7,802
54587,89,96213,1,918
49748,18,35777,2,354
12846,20,95604,3,633
13263,96,12927,7,961
59096,95,58926,3,343
42074,61,2358,4,448
55976,17,92715,5,338
40633,93,17339,8,682
15087,71,72324,4,167
68396,43,95407,1,264
68261,15,22401,6,166
13762,12,67062,10,193
34474,49,6933,9,168
1151,54,26955,8,583
75900,39,21960,8,136
58845,61,23789,2,370
29688,30,16816,5,374
16952,31,92314,1,563
43835,29,25809,5,42
46743,92,61492,7,748
76741,25,93836,7,21
52763,92,67301,7,732
17331,36,92048,3,623
142,21,84281,10,468
5346,53,9080,5,432
69175,84,16346,2,750
56101,90,1930,1,35
32891,32,25399,9,924
31766,70,21571,9,568
36742,9,89922,8,976
36737,20,78933,6,160
32449,43,4575,1,509
24982,44,49195,2,998
9630,35,28172,8,573
25949,49,49826,5,820
40242,75,88440,8,115
73561,80,16254,6,465
40699,31,82533,4,840
76776,87,32351,7,930
44437,75,68466,1,798
54141,49,95506,5,600
56768,55,2479,10,220
43372,71,60483,6,577
30197,14,43798,6,343
44954,28,34287,5,859
53324,78,86738,5,187
18723,3,55296,4,60
66186,84,50972,1,26
61875,68,63732,5,653
49110,29,47052,5,857
1898,42,96079,6,842
10859,28,44638,6,266
72949,14,63395,5,77
10407,63,35076,7,314
40689,20,42074,9,765
47777,86,43858,3,119
10001,21,53971,10,65
31097,68,54331,10,98
56246,71,98669,9,801
15679,54,35147,9,94
40281,46,88619,10,489
49626,86,91299,6,974
8387,75,64719,5,800
49023,22,79181,1,303
51678,53,75079,6,631
50768,23,21391,4,982
26332,26,13873,5,987
41585,33,25397,2,873
55984,92,17426,5,13
16728,81,15392,2,697
74713,61,32738,9,881
7638,53,53447,7,928
407,6,88125,8,806
65359,94,89582,6,746
75369,21,79506,9,106
9184,72,88198,4,812
41218,22,78453,9,703
8660,76,38426,3,813
8936,45,23607,8,633
12431,44,82125,7,455
70704,53,53982,10,968
71010,18,92435,4,976
52127,89,70935,3,360
44214,8,86219,10,312
21935,5,35772,4,619
45754,53,33602,9,919
47279,69,72261,8,378
15882,37,2058,8,397
79526,92,47957,6,275
24430,7,77573,10,74
53258,87,61227,6,978
69951,60,72649,6,338
8862,78,80502,4,949
77596,18,46050,10,377
11940,68,93915,3,305
28477,97,72329,7,462
13822,45,3441,7,668
64284,15,3240,9,793
18233,49,75721,10,841
46829,2,5248,3,757
69703,3,13429,10,435
33910,22,92430,9,197
16032,63,54573,4,260
57461,85,13360,5,802
25300,46,95583,4,385
34439,31,5572,9,262
15642,14,23567,9,390
38348,51,60520,6,320
64144,93,72928,5,628
14162,10,17150,3,23
79938,38,31739,2,941
2173,90,52006,5,465
305,98,87135,3,397
64638,28,99727,3,712
57979,63,32892,1,78
20502,77,69224,8,924
53001,33,70062,5,144
58367,39,81842,2,218
73289,75,41228,4,140
78850,33,65217,10,901
40369,78,94106,6,119
78295,53,32440,1,571
35600,92,33451,5,524
68642,95,60886,9,652
41362,77,61477,7,846
77071,28,45397,1,55
16486,4,15038,7,746
44045,37,83579,10,161
33131,87,46571,3,60
21030,23,40129,3,28
78093,50,81532,8,693
61443,78,22338,4,57
57057,22,59667,8,102
9056,46,726,6,983
40344,83,17406,2,79
51434,59,83200,7,504
52624,94,62695,2,944
3087,18,89635,3,615
66652,76,77085,7,532
37261,4,75312,7,115
50233,32,78128,2,442
3535,12,97763,1,795
60130,50,99058,3,162
66266,34,60690,5,146
61367,41,71626,4,710
11637,21,16531,5,229
69915,83,36249,10,717
62264,96,36287,4,772
10016,89,26837,1,534
68221,80,18663,8,675
32463,54,24595,9,49
58969,23,26054,8,860
22321,6,1889,6,517
32909,17,6311,5,110
22917,18,36951,4,221
10515,11,45434,6,575
64114,18,22016,10,360
17849,70,65276,10,37
71843,37,71630,2,800
47143,49,21211,9,467
58409,89,83882,10,567
52747,77,62523,8,698
66927,29,80042,10,634
26756,97,94293,3,401
29210,46,8848,2,212
14345,81,89319,8,801
60374,83,33173,7,319
31616,21,39323,5,879
20532,52,58950,10,785
29663,51,49266,5,260
30250,25,25961,6,972
76431,64,59056,2,311
15826,22,88035,7,700
56804,97,34142,1,419
76106,98,66679,6,729
55848,90,43948,2,524
47949,43,64437,7,112
22276,29,65636,2,591
15846,75,75372,6,564
1443,78,7557,1,701
72368,26,47411,2,695
3894,89,17530,2,718
30433,16,11912,4,492
21158,97,32346,8,120
56643,20,2846,1,420
76375,96,66129,10,251
63755,72,8919,7,141
32167,42,49302,5,390
48354,16,32360,1,302
1399,47,28611,6,493
42810,23,80798,6,681
39828,16,15620,6,626
7550,86,99345,6,284
25514,10,6101,1,763
75885,58,86955,4,813
39439,95,7271,2,856
19090,17,60526,2,52
39234,71,52965,6,510
6008,80,99658,4,640
79632,36,86933,5,189
22627,29,31098,6,539
61632,19,39255,7,986
70507,86,47342,1,747
50208,79,30541,5,753
34084,57,72034,10,320
830,100,15742,2,774
25950,70,77424,6,198
34265,5,41680,2,689
5592,29,17272,2,878
2826,35,24983,6,992
19512,34,29132,10,890
33674,22,9562,8,829
11930,78,41750,8,703
70910,15,42255,9,162
13811,87,65785,6,404
45878,52,20240,4,834
31155,64,51597,4,393
65485,44,85457,5,282
56820,38,42004,4,706
45059,41,11753,4,820
19000,72,60596,10,879
74165,88,98231,2,624
56203,13,49477,6,926
10945,47,30260,6,382
71250,6,46391,2,66
70474,57,98267,2,521
1428,43,23805,6,751
14132,93,39338,3,504
79340,6,97455,3,680
62673,92,51465,2,562
31743,62,6870,2,381
19600,28,35254,8,523
46643,43,69816,4,868
59616,25,91719,9,228
1336,20,14565,6,826
53895,50,52819,2,868
20299,65,61663,3,394
33917,18,12176,2,501
64674,26,97344,5,235
20291,9,84627,5,49
18871,64,46689,9,560
74396,33,99738,7,759
17429,63,41273,8,865
1273,7,36430,3,489
9892,11,69492,7,792
73626,68,21531,1,726
10518,12,72520,5,461
22799,58,34766,4,978
5897,1,74908,3,372
76194,95,96004,1,267
56345,71,47482,10,957
36396,33,7403,4,610
70145,24,98045,3,529
22587,25,27793,8,49
71259,50,53923,2,270
4252,25,64239,9,614
77969,86,86590,6,6
79908,88,14365,6,995
30138,53,31322,10,798
29650,88,70041,6,32
79088,36,3347,10,240
73550,24,33472,3,374
20120,18,43268,6,486
79773,34,28747,2,724
72378,41,76594,9,532
48360,66,26393,4,923
44195,85,86186,9,400
66107,86,27407,10,628
50935,63,10654,6,60
52978,95,64618,6,1000
40469,58,75464,6,553
38443,24,34033,2,796
19598,42,38018,4,104
60903,22,70957,1,898
62507,44,35770,8,167
63543,24,83358,8,84
8892,25,26697,4,909
76591,73,19864,4,957
15450,77,41651,2,937
16031,74,99025,9,968
25987,38,61412,9,806
1880,54,52,4,764
13647,92,19812,10,948
55750,40,89600,6,403
51487,69,43584,10,468
7134,96,27200,2,855
53495,73,13478,9,118
31670,20,77499,3,467
4582,19,64119,4,484
38178,47,84279,2,268
54862,40,7892,2,471
74240,84,90440,8,268
3316,35,61219,5,588
3548,14,92019,5,411
67908,3,4820,3,247
57878,16,3305,9,764
64033,56,61653,3,845
9330,34,57660,5,304
16185,66,79862,8,322
51993,40,82348,6,704
66230,68,93721,8,355
76657,16,97013,2,121
24419,91,86154,1,883
79103,81,2903,6,439
65287,23,47660,10,677
16929,55,88802,5,789
47579,96,68913,7,804
49802,43,95258,8,494
34622,94,61288,1,246
44959,4,83564,7,68
37577,39,1966,4,926
33639,64,96766,5,125
25092,98,95183,4,256
37994,60,34662,3,402
49277,90,95700,7,695
37136,49,76001,4,36
32065,89,97749,6,268
26965,18,13605,8,384
55406,98,71510,5,660
5410,24,90720,9,944
49309,100,21593,4,317
70095,89,27938,1,830
22964,68,36694,9,223
53996,39,3535,7,264
63004,59,10375,8,512
18287,90,10476,8,127
14025,28,62377,6,583
63931,43,36040,1,805
44092,34,17871,5,777
46725,92,50311,1,163
40397,30,33367,5,718
27109,88,48901,3,667
46792,37,43633,6,878
44079,87,4626,7,730
74839,73,41287,5,640
41540,76,69720,6,784
10138,66,31715,2,576
23483,92,67655,9,191
70548,6,57305,5,406
78,70,78265,7,225
71218,57,81344,2,354
22814,45,99451,5,453
65779,1,74435,1,398
65033,33,77348,10,660
40359,82,23636,4,932
68058,91,74400,4,209
75536,48,2479,6,594
47658,61,84272,8,530
4946,63,90315,10,931
65927,94,19877,5,795
40141,2,66823,10,98
55978,61,54144,2,505
40217,45,48378,7,507
65097,89,46047,3,698
48446,88,53208,7,930
51382,64,48183,2,76
34315,3,8802,4,90
12480,57,85465,3,406
16949,64,69195,6,873
66620,59,78759,6,506
8499,45,36643,2,30
56912,96,17184,4,700
60258,93,79397,1,605
77015,63,46849,1,590
19129,6,20047,8,778
38865,96,8345,7,158
79339,58,7891,10,550
79171,7,49082,5,69
3617,75,17858,1,243
32210,83,25836,5,389
46169,53,86479,6,751
69138,12,37477,3,109
20686,76,61672,3,175
71826,6,77326,3,778
60777,72,83043,1,599
36953,51,66772,8,318
45438,24,78369,1,893
