Pid,Pname,Pweight,Psize
1502,茶叶,64,51 19 12
2501,书,20,1 24 51
111,茶叶,63,61 61 90
1602,香蕉,85,52 69 22
2601,苹果,71,48 5 26
1103,电脑,25,100 71 73
307,茶叶,59,19 56 77
2701,上衣,52,38 40 83
1702,上衣,49,20 57 91
1203,电脑,58,97 12 32
2801,电脑,18,98 96 96
1802,椅子,13,96 44 56
605,电脑,95,44 54 90
2901,帽子,37,5 79 94
1902,薯片,12,8 67 3
804,茶叶,99,69 39 79
3001,蛋黄派,4,12 5 64
2002,茶叶,68,41 20 63
1303,电脑,23,39 63 98
2102,上衣,91,80 31 36
3101,矿泉水,8,64 86 14
406,键盘,4,82 67 22
3201,薯片,15,18 3 30
2202,书,70,90 62 70
3301,电脑,24,12 92 7
904,帽子,1,83 1 47
1403,蛋黄派,88,59 25 25
3401,椅子,3,66 43 35
2302,上衣,83,36 88 83
209,帽子,74,96 51 8
3501,垃圾袋,36,72 2 18
506,椅子,87,40 35 11
2402,垃圾袋,16,90 92 71
705,上衣,31,25 20 37
3601,薯片,78,98 60 69
1004,香蕉,19,37 97 16
1503,键盘,44,52 63 80
3701,茶叶,75,28 26 25
3801,键盘,32,64 89 63
2502,帽子,22,5 66 15
112,书,39,8 8 90
1603,上衣,61,58 40 31
3901,上衣,3,11 18 60
2602,电脑,48,83 70 71
1104,椅子,92,1 77 56
308,蛋黄派,91,59 12 17
4001,电脑,9,86 5 11
2702,书,39,40 87 38
1703,椅子,48,5 57 51
4101,上衣,63,2 55 73
1204,蛋黄派,2,72 61 91
4201,香蕉,75,62 42 94
2802,蛋黄派,45,17 54 17
1803,苹果,50,5 22 74
606,垃圾袋,79,71 79 50
4301,键盘,57,71 4 50
2902,椅子,50,69 94 13
4401,电脑,57,56 53 4
1903,椅子,27,87 54 25
4501,茶叶,45,3 96 96
805,香蕉,24,81 100 53
4601,电脑,65,63 77 48
4701,垃圾袋,37,97 2 31
3002,矿泉水,74,100 49 66
2003,椅子,26,29 70 49
1304,椅子,12,45 77 68
4801,上衣,37,100 3 53
2103,苹果,88,50 95 73
4901,蛋黄派,85,18 38 22
3102,椅子,37,41 81 39
407,书,79,81 41 92
3202,茶叶,18,22 85 42
5001,蛋黄派,16,89 18 30
2203,上衣,17,88 81 25
5101,电脑,9,70 66 86
3302,垃圾袋,55,37 70 97
905,书,65,43 40 3
1404,键盘,27,50 46 71
5201,帽子,40,10 51 25
5301,茶叶,82,90 69 21
3402,电脑,12,54 23 16
2303,茶叶,35,24 80 95
210,矿泉水,82,58 20 50
3502,薯片,81,41 90 83
5401,键盘,55,67 17 90
507,矿泉水,83,40 7 18
5501,矿泉水,29,15 96 90
2403,上衣,72,43 20 99
706,键盘,86,95 55 87
5601,椅子,71,84 7 68
3602,上衣,71,20 64 12
5701,垃圾袋,59,47 16 59
1005,上衣,56,24 31 53
5801,香蕉,58,95 79 4
1504,茶叶,7,95 34 56
5901,椅子,77,71 43 6
3702,香蕉,85,48 5 25
3802,书,93,95 57 18
2503,椅子,27,79 63 24
6001,垃圾袋,75,42 99 15
6101,薯片,4,42 19 26
113,苹果,47,44 84 39
1604,垃圾袋,6,86 3 61
3902,蛋黄派,50,82 12 30
2603,键盘,61,85 21 73
6201,垃圾袋,44,94 58 46
1105,苹果,72,45 89 26
6301,垃圾袋,46,86 71 33
309,键盘,51,19 48 71
4002,矿泉水,66,69 47 37
6401,帽子,11,66 34 79
2703,书,17,8 49 82
1704,蛋黄派,96,20 88 55
6501,茶叶,6,33 78 9
4102,蛋黄派,22,95 60 72
6601,垃圾袋,13,22 71 53
6701,帽子,38,7 71 98
1205,矿泉水,63,6 66 95
4202,苹果,72,74 53 46
6801,椅子,94,69 16 48
2803,帽子,8,23 99 68
1804,茶叶,36,23 67 4
6901,香蕉,68,40 86 93
7001,茶叶,72,99 74 59
607,蛋黄派,35,96 18 88
4302,蛋黄派,84,98 38 28
7101,电脑,14,93 80 33
2903,椅子,19,16 6 78
7201,矿泉水,35,86 37 42
4402,矿泉水,51,14 87 80
1904,香蕉,56,63 4 17
4502,薯片,48,18 19 24
806,键盘,74,88 73 71
7301,苹果,19,43 92 91
7401,电脑,37,40 13 64
4602,键盘,10,16 34 55
4702,薯片,8,29 58 13
7501,电脑,98,60 51 88
3003,椅子,75,49 64 72
7601,垃圾袋,98,57 29 19
2004,帽子,68,14 26 67
1305,上衣,61,86 57 97
4802,帽子,54,58 8 43
2104,薯片,26,16 58 53
7701,薯片,47,41 94 42
7801,帽子,31,86 91 32
4902,蛋黄派,67,94 21 98
7901,香蕉,89,12 63 6
3103,苹果,4,45 54 48
8001,蛋黄派,74,20 36 14
408,椅子,79,34 50 46
3203,蛋黄派,66,72 86 70
5002,香蕉,6,45 53 26
8101,帽子,37,78 38 67
2204,电脑,54,66 62 2
5102,苹果,41,83 12 18
8201,茶叶,91,20 68 61
3303,苹果,3,53 50 13
906,电脑,46,58 56 73
8301,电脑,49,75 73 38
1405,蛋黄派,65,53 87 2
5202,薯片,98,89 36 32
5302,电脑,27,38 53 25
8401,矿泉水,90,24 86 53
3403,帽子,89,22 17 25
8501,键盘,71,2 63 13
2304,蛋黄派,54,12 28 58
8601,电脑,24,31 75 79
211,电脑,89,4 49 55
3503,书,45,64 67 7
5402,矿泉水,67,55 78 98
8701,帽子,42,14 80 40
508,椅子,39,75 74 85
5502,矿泉水,14,59 50 4
8801,香蕉,95,54 64 41
2404,书,55,92 41 70
8901,书,2,7 99 48
707,垃圾袋,69,67 61 26
5602,书,68,5 25 31
9001,椅子,86,53 52 64
3603,椅子,72,62 84 36
9101,苹果,72,53 28 82
5702,帽子,16,53 5 19
1006,椅子,51,87 91 91
9201,上衣,63,13 97 37
5802,椅子,84,64 38 39
1505,矿泉水,29,55 9 57
5902,香蕉,69,58 26 18
3703,蛋黄派,27,93 22 23
9301,书,29,6 22 82
3803,上衣,61,81 93 50
9401,薯片,61,93 88 65
2504,薯片,36,34 65 78
6002,垃圾袋,32,89 37 79
9501,垃圾袋,6,38 15 94
6102,椅子,60,13 80 27
114,上衣,87,23 89 69
9601,键盘,58,2 22 44
1605,矿泉水,6,44 72 82
3903,矿泉水,92,80 5 25
9701,椅子,88,78 31 29
2604,矿泉水,67,23 98 40
6202,上衣,30,91 28 22
1106,苹果,66,16 80 89
6302,书,69,89 41 35
6303,茶叶,97,15 43 40
4003,蛋黄派,81,95 25 91
9801,上衣,6,81 4 75
6402,苹果,33,98 19 55
9901,帽子,85,27 29 76
2704,上衣,21,8 93 5
10001,书,33,13 79 75
1705,上衣,50,9 21 2
6502,苹果,76,15 62 30
4103,蛋黄派,74,10 82 99
6602,香蕉,79,67 86 90
6702,香蕉,41,73 16 97
1206,香蕉,12,31 68 93
4203,苹果,66,11 72 37
6802,椅子,8,53 45 46
2804,蛋黄派,4,60 66 12
1805,垃圾袋,13,19 59 58
6902,香蕉,42,66 6 1
7002,椅子,10,30 17 66
608,书,98,21 88 77
4303,上衣,98,26 12 73
7102,香蕉,62,36 59 61
2904,键盘,2,89 26 56
7202,茶叶,87,59 29 54
7203,蛋黄派,42,56 26 97
1905,键盘,39,47 28 98
4503,茶叶,31,16 2 57
807,薯片,19,93 21 78
7302,键盘,70,50 75 86
7402,苹果,68,57 65 13
4603,帽子,62,61 80 24
4703,薯片,58,67 91 75
7502,蛋黄派,47,47 42 19
3004,茶叶,49,77 63 40
7602,香蕉,84,63 24 5
2005,薯片,99,60 21 86
1306,矿泉水,12,60 18 32
4803,垃圾袋,82,63 95 60
2105,茶叶,51,48 88 100
7702,茶叶,11,40 51 66
7802,薯片,30,81 13 78
4903,键盘,48,23 15 12
7902,矿泉水,4,37 31 90
3104,书,8,85 30 60
8002,椅子,77,40 20 52
409,蛋黄派,7,33 57 17
3204,矿泉水,54,29 43 49
5003,键盘,71,28 76 6
8102,苹果,28,43 27 20
2205,矿泉水,39,13 16 34
5103,垃圾袋,85,89 78 79
8202,电脑,98,93 30 51
3304,矿泉水,77,18 52 8
907,香蕉,41,95 6 70
8302,垃圾袋,80,84 1 58
1406,上衣,5,13 13 32
5203,薯片,88,90 68 13
5303,薯片,75,70 72 73
8402,上衣,85,73 92 70
3404,键盘,26,71 56 65
8502,薯片,22,36 80 23
2305,电脑,67,25 87 29
8602,苹果,64,18 30 33
212,书,96,94 38 92
3504,矿泉水,88,68 4 80
5403,矿泉水,70,98 14 61
8702,上衣,60,13 80 73
509,香蕉,93,68 79 82
5503,键盘,5,6 67 62
8802,电脑,72,19 69 62
2405,香蕉,98,87 89 30
8902,矿泉水,50,36 15 68
708,椅子,55,32 74 41
5603,帽子,48,2 63 4
9002,蛋黄派,48,32 51 96
3604,薯片,42,91 2 15
9102,苹果,74,12 54 29
5703,键盘,77,19 38 90
1007,椅子,66,39 62 4
9202,香蕉,45,84 62 36
5803,键盘,68,35 91 29
1506,矿泉水,51,73 71 84
5903,苹果,30,13 56 29
3704,垃圾袋,84,88 79 46
9302,书,69,42 64 98
3804,香蕉,37,5 14 71
9402,苹果,25,35 87 32
2505,键盘,11,71 2 3
6003,帽子,17,7 98 61
9502,电脑,46,36 4 63
6103,香蕉,84,8 99 90
115,垃圾袋,82,36 88 68
9602,垃圾袋,75,77 9 35
1606,茶叶,94,15 78 81
3904,苹果,30,56 52 96
9702,垃圾袋,99,73 54 78
2605,椅子,73,35 60 25
6203,矿泉水,90,56 24 93
1107,蛋黄派,83,4 74 63
310,书,41,40 78 14
6304,上衣,7,9 57 21
4004,茶叶,40,32 82 66
9802,矿泉水,78,86 22 73
6403,垃圾袋,52,71 92 91
9902,垃圾袋,56,35 4 60
2705,蛋黄派,20,66 50 87
10002,上衣,81,29 85 69
1706,椅子,38,62 86 87
6503,书,11,14 76 95
4104,苹果,90,69 14 100
6603,苹果,53,18 85 52
6703,键盘,68,37 39 54
1207,薯片,7,37 27 84
4204,薯片,36,26 83 25
6803,茶叶,96,46 31 49
2805,键盘,54,44 2 26
1806,薯片,38,29 64 98
6903,键盘,52,95 28 10
7003,帽子,49,33 54 31
609,键盘,87,67 76 57
4304,薯片,51,81 55 80
7103,电脑,17,11 75 79
2905,香蕉,45,86 33 4
4403,蛋黄派,30,45 33 76
7204,垃圾袋,75,34 74 5
1906,椅子,76,16 56 40
4504,茶叶,91,61 95 65
808,苹果,47,23 82 32
7303,上衣,65,65 43 31
7403,蛋黄派,31,44 47 85
4604,垃圾袋,82,81 48 53
4704,香蕉,25,75 22 89
7503,键盘,4,4 1 44
3005,矿泉水,12,95 50 11
7603,帽子,38,12 42 20
2006,香蕉,7,59 73 93
1307,矿泉水,38,99 41 10
4804,蛋黄派,78,97 52 71
2106,矿泉水,82,86 73 7
7703,帽子,81,73 75 83
7803,矿泉水,48,59 91 56
4904,香蕉,20,12 39 19
7903,垃圾袋,24,27 76 11
3105,椅子,81,32 60 92
8003,键盘,91,100 88 38
410,茶叶,20,48 26 69
3205,苹果,70,5 38 12
5004,蛋黄派,48,45 60 90
8103,苹果,73,63 20 89
2206,茶叶,19,1 94 35
5104,蛋黄派,49,55 74 86
8203,矿泉水,50,71 95 2
3305,键盘,60,21 38 74
908,香蕉,88,61 80 33
8303,矿泉水,53,13 96 63
1407,蛋黄派,90,91 53 73
5204,矿泉水,61,13 98 13
5304,香蕉,1,36 39 25
8403,矿泉水,17,79 94 8
3405,苹果,19,40 50 26
8503,书,82,49 98 83
2306,苹果,78,26 3 24
8603,薯片,63,76 43 18
213,书,100,100 81 41
3505,帽子,42,17 66 70
5404,蛋黄派,87,57 95 39
8703,椅子,50,45 87 10
510,键盘,15,52 31 40
5504,上衣,76,37 85 28
8803,苹果,34,10 86 4
2406,苹果,76,22 18 48
8903,键盘,37,66 83 86
709,垃圾袋,17,76 72 66
5604,电脑,76,61 47 59
9003,矿泉水,65,10 99 10
3605,书,30,8 72 82
9103,键盘,43,43 54 66
5704,蛋黄派,20,50 17 16
1008,矿泉水,34,15 42 77
9203,苹果,38,98 64 25
5804,薯片,80,24 49 31
1507,电脑,43,67 91 21
5904,矿泉水,73,79 86 96
3705,上衣,11,39 91 83
9303,帽子,37,68 40 6
3805,上衣,25,57 90 90
9403,蛋黄派,59,29 56 30
2506,香蕉,28,55 67 19
6004,香蕉,89,11 25 36
9503,键盘,41,49 30 19
6104,上衣,60,59 76 39
116,香蕉,54,91 65 87
9603,电脑,94,82 1 74
1607,茶叶,49,24 47 46
3905,电脑,72,67 33 95
9703,帽子,62,95 57 57
2606,香蕉,43,3 65 87
6204,帽子,4,84 98 42
1108,电脑,91,20 32 69
311,键盘,61,64 17 58
6305,电脑,34,65 64 57
4005,帽子,27,84 83 79
9803,苹果,12,59 72 73
6404,椅子,83,49 11 15
9903,蛋黄派,87,76 42 73
2706,上衣,24,32 91 9
10003,垃圾袋,19,53 15 85
1707,电脑,9,15 3 55
6504,苹果,19,63 37 54
4105,香蕉,21,67 39 100
6604,键盘,18,72 69 68
6704,书,89,80 24 23
1208,薯片,2,53 10 5
4205,矿泉水,20,70 53 20
6804,键盘,64,75 23 86
2806,蛋黄派,63,83 40 65
1807,椅子,87,15 61 79
6904,蛋黄派,100,24 15 88
7004,茶叶,41,99 90 31
610,上衣,63,54 47 29
4305,苹果,54,98 69 91
7104,电脑,13,41 27 18
2906,香蕉,61,68 53 54
4404,香蕉,13,57 12 9
7205,书,72,27 61 48
1907,薯片,36,71 11 62
4505,椅子,50,43 56 56
809,薯片,15,21 47 76
7304,蛋黄派,74,89 23 85
7404,矿泉水,59,25 64 37
4605,帽子,29,14 29 23
4705,帽子,32,98 1 7
7504,键盘,53,86 95 79
3006,上衣,62,38 18 27
7604,键盘,36,45 27 34
2007,键盘,6,85 80 11
1308,椅子,53,1 48 79
4805,上衣,69,89 100 37
2107,苹果,51,91 23 97
7704,书,43,54 73 37
7804,书,67,15 11 27
4905,垃圾袋,86,44 7 35
7904,键盘,75,25 34 60
3106,薯片,20,17 92 58
8004,椅子,4,39 29 56
411,香蕉,90,21 96 70
3206,书,38,29 80 47
5005,椅子,32,84 58 45
8104,键盘,56,94 11 13
2207,香蕉,53,38 41 82
5105,上衣,42,76 81 89
8204,书,98,90 61 31
3306,电脑,81,92 76 6
909,上衣,33,93 12 24
8304,上衣,57,69 73 52
1408,书,34,34 74 14
5205,矿泉水,73,99 40 78
5305,香蕉,59,26 43 42
8404,矿泉水,22,82 16 19
3406,薯片,94,85 38 34
8504,电脑,12,77 49 64
2307,垃圾袋,54,69 28 89
8604,垃圾袋,97,30 2 69
214,香蕉,89,48 73 8
3506,矿泉水,99,97 43 21
5405,茶叶,84,69 61 19
8704,香蕉,91,17 93 38
511,薯片,85,37 41 98
5505,矿泉水,93,8 15 57
8804,电脑,96,27 60 88
2407,键盘,77,47 83 39
8904,香蕉,74,84 81 53
710,苹果,35,43 15 31
5605,香蕉,88,99 66 69
9004,蛋黄派,75,92 72 29
3606,帽子,37,28 70 53
9104,书,52,54 38 23
5705,矿泉水,34,27 72 93
1009,上衣,92,29 95 10
9204,垃圾袋,41,63 32 62
5805,茶叶,61,95 55 45
1508,电脑,59,87 74 61
5905,苹果,56,88 16 18
3706,香蕉,93,92 67 21
9304,矿泉水,89,56 74 84
3806,苹果,38,52 96 4
9404,电脑,21,19 35 49
2507,电脑,60,35 89 17
6005,键盘,19,13 75 92
9504,电脑,52,25 92 49
6105,蛋黄派,44,76 51 38
117,矿泉水,61,9 40 49
9604,书,76,50 37 54
1608,蛋黄派,6,92 71 61
3906,上衣,17,99 100 22
9704,电脑,47,33 30 4
2607,椅子,57,87 46 96
6205,椅子,91,24 25 76
1109,椅子,18,27 77 26
312,矿泉水,21,93 40 91
6306,上衣,94,55 13 61
4006,苹果,39,56 78 13
9804,椅子,34,22 83 81
6405,蛋黄派,65,76 11 68
9904,薯片,20,74 30 31
2707,薯片,30,20 1 15
10004,椅子,60,19 76 46
1708,苹果,40,82 40 40
6505,书,96,59 24 4
4106,茶叶,96,40 60 53
6605,蛋黄派,100,70 36 81
6705,香蕉,88,81 28 81
1209,键盘,26,63 87 42
4206,蛋黄派,88,99 26 67
6805,香蕉,3,18 99 56
2807,键盘,36,33 99 33
1808,电脑,57,10 77 90
6905,矿泉水,45,3 90 35
7005,蛋黄派,76,55 87 83
611,椅子,67,22 17 31
4306,上衣,72,2 64 1
7105,垃圾袋,44,3 66 56
2907,键盘,66,75 28 87
4405,茶叶,49,2 32 38
7206,蛋黄派,57,54 59 96
1908,帽子,11,16 43 53
4506,椅子,57,26 57 90
810,茶叶,96,95 48 96
7305,茶叶,20,28 5 88
7405,上衣,74,65 10 83
4606,香蕉,21,7 33 96
4706,椅子,28,33 42 52
7505,椅子,7,78 83 15
3007,帽子,97,97 94 42
7605,薯片,35,36 97 14
2008,苹果,6,81 30 34
1309,茶叶,88,27 78 74
4806,椅子,33,4 72 60
2108,矿泉水,80,62 47 90
7705,矿泉水,61,92 20 53
7805,垃圾袋,13,48 34 29
4906,香蕉,99,52 90 67
7905,茶叶,3,19 95 57
3107,键盘,82,99 25 57
8005,垃圾袋,31,60 60 79
412,苹果,70,4 35 60
3207,苹果,69,70 17 51
5006,椅子,54,54 81 76
8105,电脑,30,96 93 37
2208,帽子,99,78 93 85
5106,薯片,32,23 32 27
8205,垃圾袋,68,46 48 60
3307,垃圾袋,23,29 3 85
910,香蕉,28,97 74 96
8305,椅子,17,80 47 90
1409,上衣,27,24 12 79
5206,矿泉水,93,71 55 24
5306,矿泉水,59,84 35 62
8405,书,11,1 70 80
3407,香蕉,31,6 17 34
8505,苹果,65,12 3 13
2308,上衣,15,90 75 43
8605,上衣,54,37 65 88
215,上衣,16,38 38 13
3507,椅子,69,59 96 17
5406,上衣,88,97 39 70
8705,苹果,20,14 39 77
512,上衣,76,42 5 75
5506,帽子,74,88 56 15
8805,薯片,63,54 1 98
2408,键盘,80,91 48 90
8905,矿泉水,11,35 72 80
711,薯片,63,84 14 92
5606,上衣,52,62 84 53
9005,键盘,69,60 13 87
3607,矿泉水,33,12 10 49
9105,矿泉水,17,42 68 16
5706,电脑,29,40 25 13
1010,茶叶,100,71 33 82
9205,电脑,44,21 25 42
5806,茶叶,97,36 8 31
1509,香蕉,41,48 29 94
5906,茶叶,17,5 14 24
3707,香蕉,58,60 59 33
9305,茶叶,39,58 58 39
3807,键盘,54,18 44 30
9405,薯片,59,55 67 46
2508,茶叶,68,38 11 97
6006,矿泉水,30,65 16 54
9505,矿泉水,21,70 24 64
6106,矿泉水,46,6 8 88
118,帽子,2,90 65 34
9605,书,27,53 94 2
1609,键盘,49,66 99 47
3907,键盘,57,79 31 75
9705,电脑,5,14 39 58
2608,椅子,1,7 10 100
6206,茶叶,84,16 37 36
1110,香蕉,7,50 54 81
313,矿泉水,7,88 44 15
6307,薯片,52,35 99 63
4007,苹果,14,87 39 99
9805,电脑,5,35 94 10
6406,电脑,67,71 72 62
9905,矿泉水,49,91 1 37
2708,椅子,59,85 77 42
10005,薯片,95,95 42 44
1709,键盘,25,75 92 4
6506,苹果,45,38 20 13
4107,苹果,58,62 78 94
6606,垃圾袋,43,33 23 20
6706,电脑,48,94 48 89
1210,电脑,93,13 86 1
4207,香蕉,89,14 96 54
6806,薯片,68,50 25 97
2808,矿泉水,63,49 84 48
1809,键盘,73,66 54 97
6906,帽子,9,62 14 33
7006,矿泉水,4,68 30 79
612,椅子,28,70 79 78
4307,帽子,3,19 53 21
7106,上衣,34,3 98 31
2908,上衣,80,29 17 74
4406,薯片,94,46 52 39
7207,苹果,95,14 44 51
1909,垃圾袋,3,25 72 19
4507,上衣,43,93 19 76
811,矿泉水,37,25 77 87
7306,键盘,2,78 64 35
7406,上衣,60,64 13 23
4607,薯片,34,89 91 99
4707,蛋黄派,66,68 11 70
7506,薯片,84,85 81 76
3008,垃圾袋,47,70 15 78
7606,书,11,3 73 14
2009,上衣,97,58 38 47
1310,键盘,45,22 17 55
4807,蛋黄派,1,92 85 79
2109,香蕉,51,64 8 34
7706,椅子,3,3 62 48
7806,书,42,17 13 16
4907,矿泉水,26,15 9 13
7906,电脑,46,88 96 87
3108,香蕉,42,93 21 83
8006,矿泉水,95,6 21 43
413,蛋黄派,18,82 22 71
3208,键盘,63,42 21 86
5007,垃圾袋,47,79 29 29
8106,矿泉水,97,46 3 24
2209,上衣,88,91 4 17
5107,上衣,92,13 100 55
8206,椅子,33,74 12 45
3308,香蕉,69,62 91 66
911,帽子,70,5 69 12
8306,上衣,74,63 2 22
1410,苹果,81,51 35 2
5207,键盘,63,62 77 1
5307,电脑,50,53 48 92
8406,键盘,53,15 23 96
3408,上衣,27,3 5 78
8506,上衣,9,38 67 94
2309,电脑,100,50 3 68
8606,键盘,27,56 61 87
216,矿泉水,57,74 83 96
3508,矿泉水,4,71 8 22
5407,苹果,23,65 54 65
8706,薯片,54,53 24 43
513,茶叶,9,46 35 71
5507,苹果,74,56 60 42
8806,矿泉水,57,54 30 20
2409,矿泉水,46,4 50 2
8906,苹果,75,13 66 60
712,椅子,47,83 51 20
5607,帽子,30,81 99 28
9006,苹果,50,98 23 91
3608,香蕉,9,68 58 76
9106,矿泉水,10,78 26 100
5707,苹果,91,59 21 55
1011,电脑,12,99 83 45
9206,帽子,37,4 74 9
5807,垃圾袋,36,26 41 60
1510,蛋黄派,69,36 22 30
5907,矿泉水,63,100 81 82
3708,薯片,19,4 34 55
9306,键盘,82,100 48 40
3808,电脑,40,53 45 100
9406,香蕉,39,39 74 74
2509,键盘,76,74 38 28
6007,垃圾袋,46,80 7 64
9506,上衣,93,16 4 87
6107,椅子,3,57 87 72
119,键盘,23,86 9 5
9606,上衣,83,41 36 12
1610,椅子,88,17 80 75
3908,电脑,18,96 48 10
9706,椅子,6,84 1 26
2609,椅子,68,92 65 64
6207,垃圾袋,85,42 55 55
1111,椅子,79,18 32 64
314,垃圾袋,65,41 8 94
6308,茶叶,50,15 63 2
4008,薯片,58,21 75 24
9806,薯片,66,24 51 54
6407,椅子,8,7 85 86
9906,苹果,6,26 65 34
2709,茶叶,70,65 70 14
10006,垃圾袋,36,74 76 55
1710,薯片,17,95 30 98
6507,键盘,60,11 82 30
4108,垃圾袋,39,14 49 80
6607,书,27,91 87 39
6707,帽子,97,63 1 25
1211,上衣,31,68 24 62
4208,垃圾袋,96,11 89 12
6807,薯片,5,29 17 49
2809,薯片,26,82 31 45
1810,键盘,97,58 20 13
6907,垃圾袋,9,56 1 32
7007,蛋黄派,25,12 19 71
613,苹果,47,92 9 43
4308,茶叶,70,44 51 44
7107,垃圾袋,54,8 52 14
2909,蛋黄派,55,72 53 88
4407,电脑,14,84 39 80
7208,香蕉,100,61 89 49
1910,椅子,60,69 5 96
4508,书,29,8 85 72
812,键盘,80,17 89 11
7307,电脑,7,62 22 97
7407,椅子,37,44 3 13
4608,椅子,46,60 32 91
4708,矿泉水,19,96 53 14
7507,苹果,79,62 27 57
3009,帽子,77,69 74 100
7607,键盘,18,35 64 72
2010,垃圾袋,39,82 48 9
1311,帽子,27,84 85 92
4808,帽子,34,48 45 34
2110,薯片,91,97 4 13
7707,蛋黄派,56,23 54 63
7807,香蕉,98,11 37 65
4908,上衣,90,18 74 85
7907,茶叶,51,27 73 96
3109,矿泉水,69,27 42 33
8007,上衣,27,2 47 56
414,上衣,19,85 28 95
415,蛋黄派,59,5 92 16
5008,书,26,14 95 16
8107,帽子,46,19 41 55
2210,苹果,55,44 95 84
5108,椅子,92,70 43 14
8207,帽子,20,12 55 45
3309,苹果,12,28 18 86
912,电脑,27,72 58 2
8307,帽子,70,55 44 41
1411,茶叶,43,83 60 42
5208,香蕉,93,64 57 11
5308,茶叶,15,55 21 86
8407,帽子,51,57 37 53
3409,帽子,34,40 36 81
8507,垃圾袋,40,65 55 88
2310,香蕉,96,19 40 65
8607,键盘,50,78 54 17
217,上衣,80,49 79 86
3509,薯片,8,20 67 55
5408,香蕉,55,69 25 21
8707,书,47,40 50 86
514,香蕉,36,7 22 51
5508,上衣,89,47 60 53
8807,蛋黄派,9,66 20 22
2410,上衣,56,80 30 80
8907,苹果,11,64 2 67
713,书,61,64 45 30
5608,苹果,27,74 1 18
9007,上衣,12,75 59 14
3609,书,3,78 68 18
9107,书,57,94 54 2
5708,键盘,28,53 81 70
1012,薯片,100,24 77 54
9207,键盘,76,96 85 91
5808,电脑,22,22 79 36
1511,蛋黄派,52,81 54 27
5908,垃圾袋,16,3 40 93
3709,书,55,21 76 73
9307,垃圾袋,78,82 17 41
3809,薯片,36,71 51 18
9407,电脑,40,15 2 41
2510,帽子,85,67 29 35
6008,电脑,84,70 62 92
9507,电脑,42,96 4 70
6108,上衣,22,77 44 65
6109,键盘,65,60 100 75
9607,茶叶,87,60 18 42
1611,帽子,60,16 45 78
3909,香蕉,73,51 60 35
9707,香蕉,13,10 82 38
2610,薯片,6,49 52 33
6208,薯片,70,39 1 29
1112,茶叶,91,42 72 48
315,帽子,99,58 76 27
6309,电脑,83,41 57 78
4009,茶叶,20,21 39 27
9807,香蕉,49,66 16 82
6408,书,79,25 91 30
9907,茶叶,75,1 99 64
2710,键盘,44,4 3 93
10007,椅子,9,85 9 6
1711,帽子,98,23 21 51
6508,椅子,30,87 95 37
4109,香蕉,10,1 30 61
6608,苹果,1,21 59 6
6708,帽子,42,99 33 29
1212,书,93,77 22 97
4209,椅子,34,1 56 25
6808,上衣,4,53 98 95
2810,书,83,79 1 57
1811,蛋黄派,85,99 68 62
6908,电脑,93,96 55 53
7008,帽子,15,32 42 17
614,垃圾袋,93,89 27 38
4309,帽子,29,100 42 92
7108,蛋黄派,34,19 72 83
2910,键盘,22,100 88 44
4408,帽子,100,74 85 66
7209,茶叶,47,70 51 51
1911,薯片,9,7 35 44
